Value,Type,Source,Tags,Country,Start Date,End Date,Grace Period,Grace Period End Date,Guest Network Exclusion,Guest Network End Date,Is Active,Attributed To,Has Delegated Controls,Delegated Control Types,CIDR Size,Link,AS Number,Reasons,Notes
168.218.5.0/24,IP,Customer-Provided,,,1/21/24,Active,FALSE,,FALSE,,TRUE,Verizon Communications - Corporate,Delegated Controls,"Internet Service Provider,Network Services",256,,,,Findings from this CIDR block will not be attributed to Verizon Communications - Corporate
12.69.226.0/24,IP,Customer-Provided,,,1/21/24,Active,FALSE,,FALSE,,TRUE,Verizon Communications - Corporate,Delegated Controls,"Internet Service Provider,Network Services",256,,,,Findings from this CIDR block will not be attributed to Verizon Communications - Corporate
204.147.113.0/24,IP,Customer-Provided,,,1/19/24,Active,FALSE,,FALSE,,TRUE,Verizon Communications - Corporate,Delegated Controls,"Internet Service Provider,Network Services",256,,,,
168.218.5.0/24,IP,Customer-Provided,,,1/19/24,1/20/24,FALSE,,FALSE,,FALSE,Verizon Communications - Corporate,Delegated Controls,"Internet Service Provider,Network Services",256,,,,
96.46.133.128/29,IP,Customer-Provided,,,1/18/24,Active,FALSE,,FALSE,,TRUE,Verizon Communications - Corporate,Delegated Controls,"Internet Service Provider,Network Services",8,,,,
72.13.66.32/29,IP,Customer-Provided,,,1/18/24,Active,FALSE,,FALSE,,TRUE,Verizon Communications - Corporate,Delegated Controls,"Internet Service Provider,Network Services",8,,,,
69.56.1.16/29,IP,Customer-Provided,,,1/18/24,Active,FALSE,,FALSE,,TRUE,Verizon Communications - Corporate,Delegated Controls,"Internet Service Provider,Network Services",8,,,,Findings from this CIDR block will not be attributed to Verizon Communications - Corporate
69.20.64.168/29,IP,Customer-Provided,,,1/18/24,Active,FALSE,,FALSE,,TRUE,Verizon Communications - Corporate,Delegated Controls,"Internet Service Provider,Network Services",8,,,,
67.107.122.0/23,IP,Customer-Provided,,,1/18/24,Active,FALSE,,FALSE,,TRUE,Verizon Communications - Corporate,Delegated Controls,"Internet Service Provider,Network Services",512,,,,
65.167.208.0/23,IP,Customer-Provided,,,1/18/24,Active,FALSE,,FALSE,,TRUE,Verizon Communications - Corporate,Delegated Controls,"Internet Service Provider,Network Services",512,,,,
65.162.242.0/29,IP,Customer-Provided,,,1/18/24,Active,FALSE,,FALSE,,TRUE,Verizon Communications - Corporate,Delegated Controls,"Internet Service Provider,Network Services",8,,,,
